Alcohol,Flavonoids,Rating,,,,,,,,,,,,,,,,,,
14.22,3.04,A,,,,,,,,,,,,,,,,,,
13.56,3.29,A,,,,,,,,,,,,,,,,,,
13.41,2.68,A,,,,,,,,,,,,,,,,,,
13.88,3.56,A,,,,,,,,,,,,,,,,,,
13.24,2.63,A,,,,,,,,,,,,,,,,,,
13.05,3,A,,,,,,,,,,,,,,,,,,
14.21,2.65,A,,,,,,,,,,,,,,,,,,
14.38,3.17,A,,,,,,,,,,,,,,,,,,
13.9,3.39,A,,,,,,,,,,,,,,,,,,
14.1,2.92,A,,,,,,,,,,,,,,,,,,
13.94,3.54,A,,,,,,,,,,,,,,,,,,
13.05,3.27,A,,,,,,,,,,,,,,,,,,
13.83,2.99,A,,,,,,,,,,,,,,,,,,
13.82,3.74,A,,,,,,,,,,,,,,,,,,
13.77,2.79,A,,,,,,,,,,,,,,,,,,
13.74,2.9,A,,,,,,,,,,,,,,,,,,
13.56,2.78,A,,,,,,,,,,,,,,,,,,
14.22,3,A,,,,,,,,,,,,,,,,,,
13.29,3.23,A,,,,,,,,,,,,,,,,,,
13.72,3.67,A,,,,,,,,,,,,,,,,,,
12.37,0.57,B,,,,,,,,,,,,,,,,,,
12.33,1.09,B,,,,,,,,,,,,,,,,,,
12.64,1.41,B,,,,,,,,,,,,,,,,,,
13.67,1.79,B,,,,,,,,,,,,,,,,,,
12.37,3.1,B,,,,,,,,,,,,,,,,,,
12.17,1.75,B,,,,,,,,,,,,,,,,,,
12.37,2.65,B,,,,,,,,,,,,,,,,,,
13.11,3.18,B,,,,,,,,,,,,,,,,,,
12.37,2,B,,,,,,,,,,,,,,,,,,
13.34,1.3,B,,,,,,,,,,,,,,,,,,
12.21,1.28,B,,,,,,,,,,,,,,,,,,
12.29,1.02,B,,,,,,,,,,,,,,,,,,
13.86,2.86,B,,,,,,,,,,,,,,,,,,
13.49,1.84,B,,,,,,,,,,,,,,,,,,
12.99,2.89,B,,,,,,,,,,,,,,,,,,
11.96,2.14,B,,,,,,,,,,,,,,,,,,
11.66,1.57,B,,,,,,,,,,,,,,,,,,
13.03,2.03,B,,,,,,,,,,,,,,,,,,
11.84,1.32,B,,,,,,,,,,,,,,,,,,
12.33,1.85,B,,,,,,,,,,,,,,,,,,
12.7,2.55,B,,,,,,,,,,,,,,,,,,
12,2.26,B,,,,,,,,,,,,,,,,,,
12.72,2.53,B,,,,,,,,,,,,,,,,,,
12.08,1.58,B,,,,,,,,,,,,,,,,,,
13.05,1.59,B,,,,,,,,,,,,,,,,,,
11.84,2.21,B,,,,,,,,,,,,,,,,,,
12.67,1.94,B,,,,,,,,,,,,,,,,,,
12.16,1.69,B,,,,,,,,,,,,,,,,,,
11.65,1.61,B,,,,,,,,,,,,,,,,,,
11.64,1.69,B,,,,,,,,,,,,,,,,,,
12.08,1.59,B,,,,,,,,,,,,,,,,,,
12.08,1.5,B,,,,,,,,,,,,,,,,,,
12,1.25,B,,,,,,,,,,,,,,,,,,
12.69,1.46,B,,,,,,,,,,,,,,,,,,
12.29,2.25,B,,,,,,,,,,,,,,,,,,
11.62,2.26,B,,,,,,,,,,,,,,,,,,
12.47,2.27,B,,,,,,,,,,,,,,,,,,
11.81,0.99,B,,,,,,,,,,,,,,,,,,
12.29,2.5,B,,,,,,,,,,,,,,,,,,
12.37,3.75,B,,,,,,,,,,,,,,,,,,
12.29,2.99,B,,,,,,,,,,,,,,,,,,
12.08,2.17,B,,,,,,,,,,,,,,,,,,
12.6,1.36,B,,,,,,,,,,,,,,,,,,
12.34,2.11,B,,,,,,,,,,,,,,,,,,
11.82,1.64,B,,,,,,,,,,,,,,,,,,
12.51,1.92,B,,,,,,,,,,,,,,,,,,
12.42,1.84,B,,,,,,,,,,,,,,,,,,
12.25,2.03,B,,,,,,,,,,,,,,,,,,
12.72,1.76,B,,,,,,,,,,,,,,,,,,
12.22,2.04,B,,,,,,,,,,,,,,,,,,
11.61,2.92,B,,,,,,,,,,,,,,,,,,
11.46,2.58,B,,,,,,,,,,,,,,,,,,
12.52,2.27,B,,,,,,,,,,,,,,,,,,
11.76,2.03,B,,,,,,,,,,,,,,,,,,
11.41,2.01,B,,,,,,,,,,,,,,,,,,
12.08,2.29,B,,,,,,,,,,,,,,,,,,
11.03,2.17,B,,,,,,,,,,,,,,,,,,
11.82,1.6,B,,,,,,,,,,,,,,,,,,
12.42,2.09,B,,,,,,,,,,,,,,,,,,
12.77,1.25,B,,,,,,,,,,,,,,,,,,
12,1.64,B,,,,,,,,,,,,,,,,,,
11.45,2.79,B,,,,,,,,,,,,,,,,,,
11.56,5.08,B,,,,,,,,,,,,,,,,,,
12.42,2.13,B,,,,,,,,,,,,,,,,,,
13.05,2.65,B,,,,,,,,,,,,,,,,,,
11.87,3.03,B,,,,,,,,,,,,,,,,,,
12.07,2.65,B,,,,,,,,,,,,,,,,,,
12.43,3.15,B,,,,,,,,,,,,,,,,,,
11.79,2.24,B,,,,,,,,,,,,,,,,,,
12.37,2.45,B,,,,,,,,,,,,,,,,,,
12.04,1.75,B,,,,,,,,,,,,,,,,,,
12.86,1.25,B,,,,,,,,,,,,,,,,,,
12.88,1.22,B,,,,,,,,,,,,,,,,,,
12.81,1.09,B,,,,,,,,,,,,,,,,,,
12.7,1.2,B,,,,,,,,,,,,,,,,,,
12.51,0.58,B,,,,,,,,,,,,,,,,,,
12.6,0.66,B,,,,,,,,,,,,,,,,,,
12.25,0.47,B,,,,,,,,,,,,,,,,,,
12.53,0.6,B,,,,,,,,,,,,,,,,,,
13.49,0.48,B,,,,,,,,,,,,,,,,,,
12.84,0.6,B,,,,,,,,,,,,,,,,,,
12.93,0.5,B,,,,,,,,,,,,,,,,,,
13.36,0.5,B,,,,,,,,,,,,,,,,,,
13.52,0.52,B,,,,,,,,,,,,,,,,,,
13.62,0.8,B,,,,,,,,,,,,,,,,,,
12.25,0.78,B,,,,,,,,,,,,,,,,,,
13.16,0.55,B,,,,,,,,,,,,,,,,,,
13.88,0.34,B,,,,,,,,,,,,,,,,,,
12.87,0.65,B,,,,,,,,,,,,,,,,,,
13.32,0.76,B,,,,,,,,,,,,,,,,,,
13.08,1.39,B,,,,,,,,,,,,,,,,,,
13.5,1.57,B,,,,,,,,,,,,,,,,,,
12.79,1.36,B,,,,,,,,,,,,,,,,,,
13.11,1.28,B,,,,,,,,,,,,,,,,,,
13.23,0.83,B,,,,,,,,,,,,,,,,,,
12.58,0.58,B,,,,,,,,,,,,,,,,,,
13.17,0.63,B,,,,,,,,,,,,,,,,,,
13.84,0.83,B,,,,,,,,,,,,,,,,,,
12.45,0.58,B,,,,,,,,,,,,,,,,,,
14.34,1.31,B,,,,,,,,,,,,,,,,,,
13.48,1.1,B,,,,,,,,,,,,,,,,,,
12.36,0.92,B,,,,,,,,,,,,,,,,,,
13.69,0.56,B,,,,,,,,,,,,,,,,,,
12.85,0.6,B,,,,,,,,,,,,,,,,,,
12.96,0.7,B,,,,,,,,,,,,,,,,,,
13.78,0.68,B,,,,,,,,,,,,,,,,,,
13.73,0.47,B,,,,,,,,,,,,,,,,,,
13.45,0.92,B,,,,,,,,,,,,,,,,,,
12.82,0.66,B,,,,,,,,,,,,,,,,,,
13.58,0.84,B,,,,,,,,,,,,,,,,,,
13.4,0.96,B,,,,,,,,,,,,,,,,,,
12.2,0.49,B,,,,,,,,,,,,,,,,,,
12.77,0.51,B,,,,,,,,,,,,,,,,,,
14.16,0.7,B,,,,,,,,,,,,,,,,,,
13.71,0.61,B,,,,,,,,,,,,,,,,,,
13.4,0.75,B,,,,,,,,,,,,,,,,,,
13.27,0.69,B,,,,,,,,,,,,,,,,,,
13.17,0.68,B,,,,,,,,,,,,,,,,,,
14.13,0.76,B,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
